course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,profit,published_date,published_time,year,month,day,Clean_title
992114,"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",https://www.udemy.com/build-a-complete-crud-application-with-php-mysql-jquery/,True,20,9762,94,112,All Levels,13.5 hours,2016-11-01T15:30:36Z,Web Development,195240,2016-11-01,15:30:36Z,2016,11,1,build complete crud application php mysql  jquery
652438,The Complete PHP CodeIgniter Course: Beginner To Advanced,https://www.udemy.com/codeignitercourse/,True,195,17895,212,30,All Levels,4 hours,2015-12-29T20:19:39Z,Web Development,3489525,2015-12-29,20:19:39Z,2015,12,29,complete php codeigniter course beginner advanced
1052304,JavaScript For Beginners : Learn JavaScript From Scratch,https://www.udemy.com/javascript-course-for-beginners/,True,195,11285,102,77,All Levels,5.5 hours,2017-02-07T17:20:39Z,Web Development,2200575,2017-02-07,17:20:39Z,2017,2,7,javascript beginners  learn javascript scratch
1223012,"Mastering 'Native CSS Shapes To Build Modern Web Pages""",https://www.udemy.com/mastering-native-css-shapes/,True,195,1040,5,30,All Levels,3.5 hours,2017-05-29T17:44:48Z,Web Development,202800,2017-05-29,17:44:48Z,2017,5,29,mastering native css shapes build modern web pages
723522,PHP Fundamentals - Start Earning The Top Dollars You Deserve,https://www.udemy.com/php-fundamentals/,True,195,12068,81,12,All Levels,1.5 hours,2016-04-05T16:50:51Z,Web Development,2353260,2016-04-05,16:50:51Z,2016,4,5,php fundamentals  start earning dollars deserve
1181900,Interactive Dynamic JavaScript for beginners DOM,https://www.udemy.com/javascript-dom/,True,200,5559,35,21,Beginner Level,2 hours,2017-04-18T17:16:33Z,Web Development,1111800,2017-04-18,17:16:33Z,2017,4,18,interactive dynamic javascript beginners dom
945336,Javascript Intermediate level 1 - Mastering the DOM,https://www.udemy.com/javascript-intermediate-mastering-the-dom/,True,100,1838,169,31,All Levels,3 hours,2016-08-30T19:52:11Z,Web Development,183800,2016-08-30,19:52:11Z,2016,8,30,javascript intermediate level 1  mastering dom
23742,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,True,35,15187,970,64,All Levels,10 hours,2012-09-10T23:52:58Z,Web Development,531545,2012-09-10,23:52:58Z,2012,9,10,servlets jsps tutorial learn web applications java
266252,Projects in PHP and MySQL,https://www.udemy.com/the-complete-web-development-course-learn-by-building-apps/,True,60,10606,570,88,All Levels,23 hours,2014-07-25T11:11:41Z,Web Development,636360,2014-07-25,11:11:41Z,2014,7,25,projects php mysql
473548,PHP OOP: Object Oriented Programming for beginners + Project,https://www.udemy.com/oop-php-object-oriented-programing-with-project-1-course/,True,200,6497,901,221,All Levels,18 hours,2015-06-03T22:40:09Z,Web Development,1299400,2015-06-03,22:40:09Z,2015,6,3,php oop object oriented programming beginners  project
920544,React Redux React-Router: From Beginner to Paid Professional,https://www.udemy.com/react-redux-react-router/,True,20,11536,876,60,All Levels,6.5 hours,2016-08-25T22:22:25Z,Web Development,230720,2016-08-25,22:22:25Z,2016,8,25,react redux reactrouter beginner paid professional
993754,Django Core | A Reference Guide to Core Django Concepts,https://www.udemy.com/django-core/,True,195,16282,303,159,Intermediate Level,18.5 hours,2016-10-29T19:28:45Z,Web Development,3174990,2016-10-29,19:28:45Z,2016,10,29,django core  reference guide core django concepts
1155262,"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",https://www.udemy.com/build-angular-2-complete-e-comerce-app-java-spring-mysql/,True,195,949,129,89,All Levels,20.5 hours,2017-03-27T16:46:54Z,Web Development,185055,2017-03-27,16:46:54Z,2017,3,27,angular 2 complete ecommerce app course  javaspringmysql
997964,"Build An Online Bank With Java, Angular 2, Spring and More",https://www.udemy.com/build-an-online-bank-with-java-angular-2-spring-and-more/,True,195,1995,286,45,Beginner Level,6.5 hours,2016-11-01T15:42:30Z,Web Development,389025,2016-11-01,15:42:30Z,2016,11,1,build online bank java angular 2 spring
531954,Projects in AngularJS - Learn by building 10 Projects,https://www.udemy.com/learn-angularjs-development/,True,40,7146,629,77,All Levels,14.5 hours,2015-06-25T19:00:56Z,Web Development,285840,2015-06-25,19:00:56Z,2015,6,25,projects angularjs  learn building 10 projects
1022582,The Ultimate Vue JS 2 Developers Course,https://www.udemy.com/vuejs-2-essentials/,True,195,1703,292,178,All Levels,13 hours,2016-12-16T14:59:21Z,Web Development,332085,2016-12-16,14:59:21Z,2016,12,16,ultimate vue js 2 developers course
1049092,React JS - Build real world JS apps & deploy on cloud,https://www.udemy.com/reactjs-for-beginners-build-real-world-react-apps-deploy-on-cloud/,True,175,12815,262,53,All Levels,8.5 hours,2017-02-12T15:17:31Z,Web Development,2242625,2017-02-12,15:17:31Z,2017,2,12,react js  build real world js apps  deploy cloud
1277924,Angular 4 Front To Back,https://www.udemy.com/angular-4-front-to-back/,True,40,44,0,68,All Levels,8.5 hours,2017-07-06T15:04:55Z,Web Development,1760,2017-07-06,15:04:55Z,2017,7,6,angular 4
947120,"HTML5, CSS3 And JavaScript Fundamentals 2016",https://www.udemy.com/html5-css3-and-javascript-fundamentals-2016/,True,115,627,125,7,All Levels,1 hour,2016-09-01T16:48:58Z,Web Development,72105,2016-09-01,16:48:58Z,2016,9,1,html5 css3 javascript fundamentals 2016
712960,"Angular 4 - Concepts, Code and Collective Wisdom",https://www.udemy.com/angular-2-concepts-code-and-collective-wisdom/,True,50,851,164,75,Intermediate Level,4.5 hours,2016-04-20T16:29:03Z,Web Development,42550,2016-04-20,16:29:03Z,2016,4,20,angular 4  concepts code collective wisdom
267560,Learn E-Commerce Website in PHP & MySQL From Scratch!,https://www.udemy.com/ecommerce-website-in-php-mysqli/,False,0,29990,1342,87,All Levels,17.5 hours,2014-08-10T10:27:28Z,Web Development,0,2014-08-10,10:27:28Z,2014,8,10,learn ecommerce website php  mysql scratch
763774,JavaScript Game Development: Create Your Own Breakout Game,https://www.udemy.com/javascript-game-development-create-your-own-breakout-game/,False,0,10179,314,21,All Levels,1.5 hours,2016-09-26T23:44:51Z,Web Development,0,2016-09-26,23:44:51Z,2016,9,26,javascript game development create breakout game
929016,HTML and HTML5 For Beginners 2016,https://www.udemy.com/html-and-html5-for-beginners-2016/,True,200,563,178,32,All Levels,3 hours,2016-08-11T22:16:30Z,Web Development,112600,2016-08-11,22:16:30Z,2016,8,11,html html5 beginners 2016
399228,"Learn to code, Become a Web Developer and Master JavaScript!",https://www.udemy.com/master-javascript-today/,True,200,2353,47,91,All Levels,10 hours,2015-01-22T14:36:59Z,Web Development,470600,2015-01-22,14:36:59Z,2015,1,22,learn code web developer master javascript
494078,Expert Guide : Mastering Functions in JavaScript !,https://www.udemy.com/functions-in-javascript/,True,195,3015,30,19,All Levels,2.5 hours,2015-06-19T22:58:29Z,Web Development,587925,2015-06-19,22:58:29Z,2015,6,19,expert guide  mastering functions javascript 
1158572,Learn Angular 4 from Scratch,https://www.udemy.com/learn-angular-from-scratch/,False,0,8693,522,11,Beginner Level,1.5 hours,2017-05-02T02:38:43Z,Web Development,0,2017-05-02,02:38:43Z,2017,5,2,learn angular 4 scratch
629082,Discover HTML Essential guide to HTML how to create webpages,https://www.udemy.com/intro-to-html-beginners-guide-to-html-how-to-create-webpages/,True,85,8711,44,22,Beginner Level,1.5 hours,2015-10-17T05:52:05Z,Web Development,740435,2015-10-17,05:52:05Z,2015,10,17,discover html essential guide html create webpages
1093734,HTML5 and CSS3 for beginners: Create a Website from Scratch,https://www.udemy.com/html5-and-css3-for-beginners-create-a-website-from-scratch/,True,200,9945,101,43,Beginner Level,2 hours,2017-02-17T22:15:48Z,Web Development,1989000,2017-02-17,22:15:48Z,2017,2,17,html5 css3 beginners create website scratch
556248,The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,True,195,57422,874,84,All Levels,7.5 hours,2015-07-27T16:57:52Z,Web Development,11197290,2015-07-27,16:57:52Z,2015,7,27,complete html  css course  novice professional
582392,JavaScript Basics Web Development Building Blocks,https://www.udemy.com/javascript-basics-web-development-building-blocks/,True,95,10179,68,17,Beginner Level,1.5 hours,2015-08-14T00:27:33Z,Web Development,967005,2015-08-14,00:27:33Z,2015,8,14,javascript basics web development building blocks
661802,JavaScript Design Patterns: 20 Patterns for Expert Code,https://www.udemy.com/javascript-design-patterns-20-patterns-for-expert-code/,True,95,2789,243,26,Expert Level,3.5 hours,2015-11-12T19:01:10Z,Web Development,264955,2015-11-12,19:01:10Z,2015,11,12,javascript design patterns 20 patterns expert code
1139400,Fix Google's New 'Not Secure' Warning with Let's Encrypt!,https://www.udemy.com/fix-googles-new-not-secure-warning-with-lets-encrypt/,True,95,1437,24,20,Beginner Level,1 hour,2017-03-09T23:25:27Z,Web Development,136515,2017-03-09,23:25:27Z,2017,3,9,fix googles new not secure warning lets encrypt
729552,JavaScript for Beginners Welcome to learning JavaScript,https://www.udemy.com/javascript-for-beginners-course/,True,50,10864,63,26,Beginner Level,2 hours,2016-02-01T19:34:26Z,Web Development,543200,2016-02-01,19:34:26Z,2016,2,1,javascript beginners welcome learning javascript
959586,Javascript from Beginner to Advanced Level,https://www.udemy.com/javascript-from-beginner-to-advanced-level/,True,195,6134,160,50,Beginner Level,6.5 hours,2016-12-19T14:40:00Z,Web Development,1196130,2016-12-19,14:40:00Z,2016,12,19,javascript beginner advanced level
861528,PHP Security,https://www.udemy.com/php-security/,True,50,1892,147,24,All Levels,2.5 hours,2016-06-15T20:46:15Z,Web Development,94600,2016-06-15,20:46:15Z,2016,6,15,php security
559512,The Complete HTML5 & CSS3 Course Build Professional Websites,https://www.udemy.com/html5css3/,True,195,10518,129,57,All Levels,4.5 hours,2015-08-11T21:47:20Z,Web Development,2051010,2015-08-11,21:47:20Z,2015,8,11,complete html5  css3 course build professional websites
922600,CSS Web Development Crash Course,https://www.udemy.com/css-course/,True,20,10008,53,26,Beginner Level,2.5 hours,2016-12-01T17:33:48Z,Web Development,200160,2016-12-01,17:33:48Z,2016,12,1,css web development crash course
976284,Mastering DevOps,https://www.udemy.com/mastering-devops/,True,100,1023,118,38,Intermediate Level,6 hours,2016-10-21T13:46:19Z,Web Development,102300,2016-10-21,13:46:19Z,2016,10,21,mastering devops
304490,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,https://www.udemy.com/learnsqlwithsqlserver2014/,True,35,4183,231,86,Intermediate Level,14 hours,2014-10-12T06:29:05Z,Web Development,146405,2014-10-12,06:29:05Z,2014,10,12,13 hour sql server 2014 aspnetcsscjquery course
